Regione	2020_03_09	2020_03_08	2020_03_07	2020_03_06	2020_03_05	2020_03_04	2020_03_03	2020_03_02	2020_03_01	2020_02_29	2020_02_28	2020_02_27	2020_02_26	2020_02_25	2020_02_24
Lombardia	4490	3372	2742	2008	1777	1497	1326	1077	887	552	474	349	249	240	167
Emilia Romagna	1286	1097	937	816	658	516	398	324	277	213	143	96	46	26	18
Veneto	694	623	505	454	380	345	297	271	261	189	149	109	69	43	32
Marche	313	265	201	155	120	80	59	34	25	11	6	3	1	0	0
Piemonte	337	355	202	139	106	82	56	51	49	11	11	2	3	3	3
Toscana	206	165	112	78	60	37	18	12	12	10	7	2	2	2	0
Lazio	94	82	72	50	41	27	11	4	3	3	0	0	0	3	3
Campania	119	100	61	57	45	31	30	17	17	13	4	3	0	0	0
Liguria	97	67	42	24	21	21	19	18	21	38	19	19	11	1	0
Friuli Venezia Giulia	89	53	39	28	21	18	13	9	6	0	0	0	0	0	0
Sicilia	52	51	33	22	16	16	5	5	7	2	2	2	3	3	0
Puglia	46	36	23	15	12	7	6	4	3	3	3	1	0	0	0
Umbria	28	26	24	16	9	9	8	2	2	0	0	0	0	0	0
Abruzzo	30	17	11	9	8	7	6	5	5	2	1	1	0	0	0
Trentino Alto Adige	42	32	23	14	8	6	5	1	1	1	1	1	1	1	0
Molise	14	14	14	12	7	3	3	0	0	0	0	0	0	0	0
Valle d’Aosta	15	9	8	7	2	0	0	0	0	0	0	0	0	0	0
Calabria	9	9	4	4	2	1	1	1	1	1	1	0	0	0	0
Sardegna	19	11	5	5	2	2	1	0	0	0	0	0	0	0	0
Basilicata	5	4	3	3	1	1	1	0	0	0	0	0	0	0	0
